image_name,Spacing (CoV),Baseline Variation,Fluency (px/stroke),Stroke Breaks,Smoothness (roughness),cluster
268.jpg,0.915854964,35.42128624,34.76190476,28.76712327,52.85522461,0
269.jpg,0.848796673,37.41353135,27.74074074,36.04806406,55.53222656,0
27.jpg,1.132005468,59.16701163,143.8,6.954102919,152.9782104,2
270.jpg,1.108120567,43.06385667,32.80769231,30.48065649,55.28320313,0
271.jpg,0.92665018,45.60943617,20.26470588,49.34687951,88.91693115,0
272.jpg,1.096973077,41.39366002,28.50617284,35.08012125,92.09197998,0
273.jpg,0.761286094,36.41980743,18.19767442,54.95207664,69.18182373,0
274.jpg,0.870108125,51.25679386,27.96428571,35.75989781,54.56726074,0
275.jpg,0.908757112,50.02496549,29.96551724,33.37169158,64.93286133,0
276.jpg,0.810772853,49.94379073,29.85714286,33.49282295,60.41931152,0
277.jpg,1.013181155,38.43217878,30.1,33.22259134,64.91729736,0
278.jpg,0.939822545,55.74412558,25.41333333,39.34942285,75.64086914,0
279.jpg,0.974915001,46.17469025,33.55813953,29.79902978,54.72290039,0
28.jpg,0.882257547,42.555691,111.1842105,8.994082838,135.8422852,2
280.jpg,1.038930543,57.35898382,30.24590164,33.06233061,63.84338379,1
281.jpg,0.856052029,45.14571544,25.26666667,39.57783639,58.3493042,0
282.jpg,0.791485156,40.73777936,25.2688172,39.57446807,90.86242676,0
283.jpg,1.066419971,37.72088633,26.85714286,37.23404253,72.71484375,0
284.jpg,0.790410144,46.66449132,29.91935484,33.42318057,66.94061279,0
285.jpg,0.906193168,46.09094165,28.07894737,35.61387065,79.71862793,0
286.jpg,0.790324922,57.57666605,28.41666667,35.19061582,77.01049805,0
287.jpg,1.096962066,50.06636958,30.09836066,33.22440085,64.41925049,0
288.jpg,0.793492048,44.33508965,31.85964912,31.38766518,68.51257324,0
289.jpg,0.843052307,39.45724786,32.775,30.51106024,46.30279541,0
29.jpg,0.792998059,47.88600755,40.04651163,24.97096399,130.8773804,2
290.jpg,0.97921938,50.59411689,31.77192982,31.47432356,71.78100586,0
291.jpg,0.907290671,48.95645575,26.11940299,38.28571426,70.41137695,0
292.jpg,0.815224087,45.18968179,29.38709677,34.02854005,69.43084717,0
293.jpg,0.870213409,52.69207134,32.28333333,30.97573566,68.23242188,0
294.jpg,1.049322358,57.6154939,32.15384615,31.10047845,74.69146729,1
295.jpg,0.89477287,44.93604254,29.17142857,34.28011752,76.69921875,0
296.jpg,0.882784948,45.09299109,22.625,44.198895,69.60205078,0
297.jpg,1.22078691,47.56216257,51.43478261,19.44209636,85.38391113,1
298.jpg,1.276563722,48.99539099,31.81481481,31.43189754,61.7578125,1
299.jpg,0.916097383,47.09703081,28.03125,35.67447044,64.29473877,0
3.jpg,0.77055175,58.79577309,159.75,6.259780906,176.9778442,2
30.jpg,0.883599832,42.73535997,111.4210526,8.97496457,136.8383789,2
300.jpg,0.906030075,42.10369799,33.28813559,30.04073318,70.11566162,0
31.jpg,1.002045785,31.42280861,36.18390805,27.63659465,109.2590332,0
